v_x, v_y, omega, x, y, theta, omega_w_f, omega_w_r, theta_aug, theta_dt_aug, phi, Fx_f, Fx_r, v_aug, info
9.90688,0.0036205,0.00307373,-0.000400449,1.79161,1.57103,31.9577,28.3054,0.0358174,0.197869,0.00116948,-7.03458,-7.80159,-0.0124523,21
9.84781,0.0122779,0.0103871,-0.00186597,2.9488,1.57175,31.7684,28.1381,0.0589099,0.196314,0.0037325,6.37789,6.37456,-0.0140082,10
9.70699,0.0643714,0.0555375,-0.0228989,5.71426,1.58013,31.3166,27.735,0.113843,0.192044,0.0181578,-0.716334,-0.721546,-0.0156962,4
9.5581,0.16391,0.142485,-0.110529,8.43759,1.60711,30.8542,27.3093,0.16754,0.18771,0.045663,-4.45732,-4.44126,-0.0144591,0
9.49551,0.219824,0.191595,-0.183741,9.55151,1.6266,30.6715,27.1323,0.189436,0.186092,0.0613401,13.5604,13.5068,-0.0130899,0
9.29802,1.00341,1.0319,-0.645777,10.5538,1.83656,30.9172,26.5689,0.210665,0.182702,0.337981,0.0182202,-0.00886585,-0.012611,0
9.10017,-0.256371,-0.187086,-1.43624,13.0427,1.88306,29.3839,26.0018,0.262377,0.18116,-0.0959244,0.00265825,0.00265839,-0.0124506,0
8.77577,0.335118,0.262409,-2.21773,15.4467,1.88804,28.2995,25.0755,0.312669,0.174565,0.164828,0.00140677,-0.00482903,-0.023888,0
8.6717,0.28814,0.264187,-2.58853,16.3996,1.92186,27.9618,24.777,0.333016,0.173039,-0.00686455,0.00914676,0.00910319,0.00255286,0
8.63224,0.201079,0.18023,-3.08268,17.2917,1.98537,27.884,24.6642,0.353111,0.171817,0.0447678,1.45427e-06,1.43552e-06,-0.00642545,0
8.5033,-0.0998684,-0.0855103,-3.97931,19.5427,1.95765,27.4395,24.2958,0.401575,0.170271,-0.0233387,7.38218e-07,7.33596e-07,-0.0081444,0
8.36525,0.345503,0.288028,-4.95873,21.7176,1.99727,27.0916,23.9016,0.449283,0.167161,0.100686,3.67136e-06,3.54424e-06,-0.0103822,0
8.29267,0.115211,0.109134,-5.4023,22.5877,2.02393,26.6764,23.6944,0.468816,0.166385,-0.0510694,-1.71988e-06,-5.26242e-06,-0.0014172,0
8.234,0.155927,0.130381,-5.84085,23.4514,2.03568,26.5837,23.5265,0.48819,0.164722,0.046509,9.55606e-07,9.47344e-07,-0.0122151,0
8.09319,0.205206,0.169757,-6.97061,25.4651,2.08115,26.1464,23.1241,0.534374,0.161902,0.0590415,5.34523e-07,5.1942e-07,-0.0090605,0
7.9571,0.185328,0.153152,-8.17104,27.3923,2.12643,25.7007,22.7353,0.579786,0.159198,0.0538916,7.79038e-07,7.67408e-07,-0.0101293,0
7.89937,0.200244,0.163957,-8.68709,28.1649,2.14481,25.5196,22.5703,0.598369,0.15801,0.0605989,-6.85716e-08,-8.01767e-08,-0.0100131,0
7.84326,0.191161,0.15697,-9.21386,28.9221,2.16333,25.3359,22.41,0.616818,0.156912,0.0558832,4.85099e-07,4.7318e-07,-0.00950574,0
7.70706,0.188099,0.153615,-10.5254,30.688,2.2072,24.8958,22.0208,0.660814,0.154187,0.0559567,2.01216e-07,1.88302e-07,-0.00966034,0
7.57132,0.185811,0.150962,-11.8884,32.3651,2.2503,24.4575,21.633,0.704041,0.151472,0.0558478,3.01548e-07,2.88698e-07,-0.00955293,0
7.5153,0.183967,0.149167,-12.4665,33.0339,2.26789,24.2763,21.4729,0.721721,0.150352,0.0556207,-2.46686e-07,-2.48746e-07,-0.00958374,0
